,sna,lat,lng,rent,return
169,捷運南京三民站(1號出口),25.0516,121.56299999999999,9958.76923076923,9145.923076923076
170,捷運松江南京站(7號出口),25.0522,121.53299999999999,12369.076923076924,9692.23076923077
171,捷運小巨蛋站(5號出口),25.0518,121.553,11350.923076923076,10452.384615384615
172,捷運南京復興站(5號出口),25.0517,121.545,11750.153846153846,9199.23076923077
173,興安華城,25.055999999999997,121.542,7080.153846153847,6945.846153846153
174,葫蘆國小,25.0826,121.508,1668.7692307692307,2403.769230769231
175,延平國宅,25.0789,121.51,1084.8461538461538,1721.9230769230771
176,南港公園,25.0414,121.59100000000001,2257.846153846154,2597.153846153846
177,福華商場,25.0688,121.59299999999999,1169.4615384615386,1427.8461538461538
178,建國和平路口,25.0261,121.537,9418.846153846154,10382.0
179,捷運古亭站(2號出口),25.0252,121.524,10282.692307692309,9605.692307692309
180,圓環站,25.0538,121.514,3771.0,3732.0769230769233
181,劍潭社區,25.0796,121.524,1162.4615384615386,1407.0
182,瑠公公園,25.0423,121.546,6478.23076923077,6464.923076923077
183,臺北市立大學,25.0354,121.514,6068.538461538462,5327.23076923077
184,仁愛延吉街口,25.0375,121.556,7022.923076923077,6855.923076923077
185,社子國小,25.0901,121.50200000000001,1323.0,1678.9230769230771
186,金瑞公園(金龍路),25.088,121.588,1848.0769230769229,2483.923076923077
187,捷運大直站(3號出口),25.0408,121.568,4188.461538461538,4097.307692307692
188,捷運大湖公園站(2號出口),25.0839,121.602,1540.7692307692307,1467.3846153846155
189,捷運葫洲站(1號出口),25.0735,121.60700000000001,2461.923076923077,2985.230769230769
190,舊莊區民活動中心,25.0412,121.619,1493.7692307692307,1816.9230769230771
191,市民林森路口,25.048000000000002,121.524,4276.153846153846,4017.1538461538457
192,信義杭州路口(中華電信總公司),25.0357,121.524,7710.76923076923,6856.6923076923085
193,新湖國小,25.0688,121.589,1202.6153846153845,1212.3076923076926
194,饒河夜市(八德路側),25.0494,121.572,442.3076923076923,435.6923076923077
195,東陽公園,25.0572,121.598,2231.153846153846,2886.3076923076924
196,捷運關渡站,25.1246,121.46700000000001,4198.076923076923,3240.6923076923076
197,古亭國中,25.0245,121.51100000000001,2965.3076923076924,3650.615384615385
198,臺北市立大學(天母校區),25.1137,121.537,3300.8461538461543,4170.384615384615
199,木柵光輝路口,24.9882,121.555,996.3076923076924,1601.0769230769229
200,捷運辛亥站,25.0053,121.557,1447.3846153846155,1504.6153846153845
201,福安國中,25.1032,121.48700000000001,184.0,859.7692307692308
202,龍山國小,25.0355,121.495,1838.1538461538464,2648.615384615385
203,捷運復興崗站,25.1316,121.47399999999999,1640.1538461538462,1910.1538461538464
204,樂群二敬業四路口,25.0798,121.55799999999999,5699.23076923077,6519.076923076923
205,星雲金湖街口,25.0809,121.59700000000001,717.0,1033.0
206,北安大直街口,25.0842,121.55,2027.0769230769229,1964.7692307692307
207,蘭雅國小,25.1079,121.523,2394.076923076923,2300.0
208,基河一期國宅,25.0933,121.52,1730.9230769230771,2235.3076923076924
209,捷運北門站(3號出口),25.0612,121.52,7065.3076923076915,5306.538461538462
210,培英公園,25.0825,121.545,2193.3076923076924,2291.384615384615
211,臺北花市,25.0626,121.574,2240.692307692308,2402.076923076923
212,松山高中,25.0433,121.564,5497.923076923077,5606.153846153847
213,大理高中,25.0309,121.491,3206.769230769231,4034.307692307693
214,大稻埕公園,25.0592,121.51100000000001,3807.230769230769,5618.153846153847
215,泰和公園,25.0193,121.571,4532.692307692308,4373.846153846154
216,撫順公園,25.0641,121.522,4630.692307692308,5676.384615384615
217,清江國小,25.1268,121.507,4487.769230769231,5279.153846153846
218,社正公園,25.0902,121.506,1084.2307692307693,2003.0769230769229
219,臥龍樂業街口,25.0186,121.555,2912.0769230769233,3141.769230769231
220,向陽南港路口,25.0544,121.594,2009.4615384615383,2012.3076923076926
221,麗山高中,25.0843,121.57700000000001,1224.3846153846155,1269.2307692307693
222,捷運萬芳社區站,24.998,121.574,1168.4615384615386,1305.6153846153845
223,市民太原路口,25.0494,121.515,5858.538461538462,5793.461538461538
224,湖光國宅,25.0753,121.581,1450.7692307692307,1521.8461538461538
225,內政部營建署,25.0478,121.545,5458.692307692308,5474.0
226,中山天母路口,25.1189,121.53,4494.307692307692,4343.461538461538
227,捷運忠義站,25.1316,121.47399999999999,627.3076923076923,1129.1538461538462
228,永欣綠地,25.1242,121.52600000000001,1436.3846153846155,909.2307692307692
229,市民東興路口,25.0485,121.566,4940.23076923077,4970.384615384615
230,關渡自然公園,25.1193,121.469,1889.3846153846155,2246.3076923076924
231,文山第二行政中心,25.0011,121.551,2349.0,2863.9230769230767
232,瑞湖陽光街口,25.0728,121.57600000000001,4431.384615384615,5173.307692307692
233,新明路321巷口,25.0606,121.59100000000001,1045.076923076923,2166.6153846153848
234,南京建國路口,25.0522,121.537,4951.923076923077,4715.615384615385
235,林口公園,25.039,121.579,4231.846153846154,4530.846153846154
236,關渡宮,25.1175,121.463,3007.769230769231,2363.692307692308
237,社子公園,25.0902,121.506,820.0769230769231,1300.6923076923074
238,復興市民路口,25.0459,121.544,7670.923076923077,7167.769230769231
239,捷運中山國中站,25.0607,121.544,11644.230769230771,11109.692307692307
240,國立故宮博物院,25.0986,121.54799999999999,646.0769230769231,815.8461538461537
241,木柵公園,24.9869,121.561,1288.3846153846155,1285.6923076923074
242,喬治工商,25.0271,121.555,4795.846153846154,4806.307692307692
243,中華桂林路口,25.0377,121.507,8494.153846153846,8203.846153846154
244,忠孝東路三段217巷口,25.0419,121.54,5013.0,5134.307692307692
245,華齡公園,25.0829,121.521,3444.3076923076924,3579.230769230769
246,大安運動中心,25.0208,121.545,2459.692307692308,2249.846153846154
247,立功立德路口,25.1254,121.471,1651.0769230769229,2126.769230769231
248,光復南路22巷口,25.046999999999997,121.55799999999999,6925.153846153847,6907.769230769231
249,中山中正路口,25.0531,121.52,1654.7692307692307,1652.7692307692307
250,錦德公園,25.0233,121.493,2276.923076923077,3056.1538461538457
251,聯合醫院中興院區,25.0521,121.508,2639.384615384615,3083.1538461538457
252,南京遼寧街口,25.0517,121.542,7343.76923076923,6299.615384615385
253,民權瑞光路口,25.0686,121.584,957.2307692307692,1212.3846153846155
254,健康新城,25.0541,121.561,4077.384615384615,4243.538461538462
255,永安藝文館-表演36房,24.9842,121.569,1615.3076923076926,1911.6153846153845
256,至善臨溪路口,25.096999999999998,121.542,2929.8461538461543,1979.2307692307693
257,中央北路四段30巷口,25.1353,121.478,539.6153846153846,1210.2307692307693
258,洲子一號公園,25.0803,121.565,1887.0,1703.3076923076926
259,八德中坡路口,25.0506,121.58,2101.3846153846152,2174.153846153846
260,南港高工,25.0568,121.60700000000001,1461.8461538461538,1411.5384615384617
261,三軍總醫院,25.0707,121.59,976.0769230769232,1145.0
262,雨農國小,25.1053,121.53,4554.461538461538,4942.692307692308
263,伊通長安路口,25.0483,121.535,3521.384615384615,3585.0
264,忠順區民活動中心,24.9847,121.56299999999999,1503.3846153846155,2075.692307692308
265,芝山國小,25.1103,121.536,2954.0,3809.9230769230767
266,扶輪親恩公園,25.0669,121.58,1169.5384615384614,1669.2307692307693
